Word,Number,Definitions,Type,Etymology
graandaunt,0,grand aunt,n,
graanddochter,0,granddaughter,n,
graandmidder,0,grandmomther,n,
graandson,0,grandson,n,
graanduncle,0,grand uncle,n,
graav,0,"sea bottom, esp sediment on sea bottom",n,"Orig. tabu word. < OSc. gra(i)f(fe), greaf 'a grave, tomb' (fr. 1400) < OE græf 'grave' < PGmc. *grabą 'grave', deriv. *grabaną 'to dig' < PIE *gʰrebʰ- 'to dig, scratch, scrape'."
graavit,0,scarf,n,
grab,0,grab,v,
gracious,0,gracious,adj,
grade,0,grade,n,
gradually,0,gradually,adv,
graduate,0,graduate,v,
graece,0,grace,n,
graep,0,grape,n,
graepfruit,0,grapefruit,n,
graet,0,great,adj,
graetfil,0,grateful,adj,
graetly,0,greatly,adv,
graim,0,complain,v,
grain,0,"grain,a small quantity, a little bit",n,"MEng. greyn(e), grein(e) < OFr. grain, grein < Lat. grānum 'seed' <PItc. *grānom < PIE *ǵr̥h₂nóm 'grain'. Doublet of gram. As unit of weight: Sc. grain, graan, grin. Obs. smallest Eng. Sc. & US weight (1/570 of a lb Troy or 1/7000 of a lb avoirdupois; 36 Sc. grains = 1 drap weight, where drap = 1/16 oz)."
gram,0,gram,n,
grammar,0,grammar,n,
grammatical,0,grammatical,adj,
grammatically,0,grammatically,adv,
granny,0,granny,n,
grant,0,"grant,grant",v,
grapple,0,grapple,v,
grasp,0,grasp,v,
grave,0,grave,n,
gravedigger,0,grave digger,n,
graveyerd,0,graveyard,n,
gravit,0,scarf,n,
graze,0,graze,v,
grease,0,grease,n,
greasy,0,greasy,adj,
gree,0,fish fat,n,
greedy,0,greedy,adj,
greek,0,dawn,n,
Greek,0,Greek,adj,
greemik,0,rope halter,n,
greemit,0,sheep colour patterning with dark marks on face and/or legs,adj,
green,0,green,adj,
green paek,0,first grass,n,
greenbowe,0,condition of sheep,n,
greenwash,0,greenwash; disinformation spread by a person or an organization in order to present an environmentally responsible public image,v,
greest,0,spell,n,
greet,0,cry,v,
greetie,0,weepy,adj,
greetie-gowlie,0,,,
greetie-growlie,0,cry baby,n,
greff,0,"the bottom of a peat bank,pit adjacent to peat bank",n,
grein,0,yearn,v,
gremster,0,very low ebb,n,
grenade,0,grenade,n,
greth,0,urine,n,"OSc. gra(i)th(e), gre(a)th 'to prepare, make ready (in various senses)' (fr. 1387) < ON greiða 'to make ready, prepare, arrange, etc' < PGmc. *garaidijaną 'to prepare, make ready, arrange' < PIE *h₂rey- 'to count, order'. Semantic shift 'prepare' > 'steep/wash in urine' > 'urine'"
grethy-cloots,0,nappies,n,
grethy-pot,0,potty,n,
grey,0,gray,adj,
grey güs,0,,,
grice,0,pig,n,
grice ingan,0,spring squill,n,
grice mites,0,small potatoes,n,
grice mooriks,0,,,
grid,0,grid,n,
grievance,0,grievance,n,
grim,0,grim,adj,
grind,0,gate,n,
grindeen,0,purring,n,
grinnd,0,grind,v,
grip,0,seize,v,
grip his pilli,0,grab his penis (very vulgar; commonly shouted during Up Helly Aa processions),,
grit,0,grit,n,
grocer,0,grocer,n,
groff,0,rough,adj,
groff-siv,0,sieve with large holes,n,
grøflins,0,prostrate,adv,
groint,0,grunt,v,
grølik,0,,,
grop,0,drizzle,n,
grøt,0,fish-liver oil,n,
grøtti-barrel,0,barrel for fish-liver oil,n,
grottie-buckie,0,cowrie shell,n,
grovel,0,grope around in the dark,v,
growe,0,grow,n,
grub,0,grub,n,
gruel,0,porridge,n,
Gruelly-bag,0,Whiteness person,n,
gruel-tree,0,porridge stirrer,n,
gruesome,0,gruesome,adj,
grumlie,0,muddy (water),adj,
grummel,0,muddy water,v,
grumpy,0,grumpy,adj,
grunds,0,dregs,n,
grunt,0,grunt,v,
grut,0,broken corn,n,
grutie,0,broth or porridge made out of bruised corn,n,
guarantee,0,guarantee,v,
gub,0,foam,n,
güd,1,good,adj,
güd claes,0,,,
Güd efternün,0,,,
güd man,0,,,
güd me lent,0,,,
Güd me lent,0,,,
Güd moarneen,0,Good morning,,
güd plaess,0,,,
Güd Yøl,0,,,
güd’s mak,0,,,
güdably,0,barely,adj,
guddick,0,riddle,n,
güdless,0,,,
güdness,0,goodness,interj,
gue,0,two-stringed violin,n,
guest,0,guest,n,
guff,0,smell,n,
gufset,0,,,
guggle,0,defile,v,
guideship,0,treatment,n,
guitar,0,guitar,n,
guize,0,go in disguise,v,
guizer,0,"person disguised in costume and taking part in a festival, eg Up Helly Aa",n,
guizer jarl,0,,,
gul-,0,"light, golden",n > adj,
gulbrøl,0,bellow,v,
gulder,0,angry outburst,n,
gulmogit,0,sheep colour patterning with light belly and dark back,adj,
gulsa,0,jaundice,n,
gulsa-girse,0,bogbean,n,
gun,0,gun,n,
gundy,0,toffee,n,
gunfire,0,gunfire,n,
gunnie,0,louse,n,
gunwale,0,gunwale,n,
gurblottit,0,badly washed,adj,
gurl,0,,,
gurm,0,do dirty work,v,
gurmullit,0,having dirty face,adj,
gurmy,0,dirty,adj,
gurr,0,"goop in eyes, sleep in eyes",n,
güs,0,,,
gust,0,gust,n,
gut,0,gut,n,
gutriv,0,anus (of fish),n,
gutter,0,gutter,n,
guy,0,guy,n,
gyaad,0,,,
Gyaan tae mak wye,0,,,
gyo,0,"small, steep, precipitous sea inlet",n,
gyola,0,thin buttermilk,n,
gyoppen,0,handfull,n,
gyoppenfoo,0,amount that fills two hand cupped together,n,
gyurd,0,gift,n,
ha,0,oh (indicates surprise),interj,
haa,0,hall,n,
haaf,0,open sea,n,
haaffysh,0,deep sea fish,n,
haafman,0,deep-sea fisherman,n,
haagless,0,remorseless,adj,
haal,0,haul,v,
haand,0,hand,n,
Haand’s turn,0,,,
haandbag,0,handbag,n,
haandcarved,0,hand carved,adj,
haandigrips,0,fisticuffs,n,
haandiwork,0,handiwork,n,
haandle,0,"handle,handle",n,
haandless,0,clumsy with hands,adj,
haand's turn,0,stroke of work,n,
haandwriteen,0,handwriting,n,
haandwritten,0,handwritten,adj,
haandy,0,handy,adj,
haar,0,sea fog,n,
habit,0,habit,n,
hack,0,cut,v,
hackit,0,,,
hadd,0,hold,v,
Hadd aff,0,,,
Hadd dee sheeks!,0,,,
Hadd dee tongue!,0,,,
Hadd dee wheest!,0,,,
Hadd oot a langer,0,,,
haddibaand,0,cross-beam,n,
haddock,0,haddock,n,
hae,0,"have,modal marker",v,
Haed dem a fun,0,,,
Haed me a day o him,0,,,
hael,0,whole,adj,
hael hadden,0,complete,adj,
hael-an-hadden,0,complete,adj,
haep,0,heap,n,
haerse,0,hoarse,adj,
haest,0,haste,v,
haet,1,hot,prep,
haet,2,heat,n,
haeteen,0,heating,n,
hag,0,,,
hagmark,0,boundary mark,n,
haha,0,haha (imitative of laughing),interj,
hail,0,pour off (sweat),v,
hailin kabe,0,throwel pin,n,
haily puckle,0,hailstone,n,
hain,0,use sparingly,v,
hair,0,"hair,(metaphorically) minute particle",n,
hairdresser,0,hairdresser,n,
hairm,0,harm,n,
hair-riveen,0,blows,n,
hairst,0,autumn,n,
hairst mün,0,harvest moon,,
hairst-blinks,0,autumn lightning,n,
hairst-rig,0,field that is being harvested,n,
hairstyle,0,hairstyle,n,
hairy-møldit,0,covered with green mould,adj,
haithen,0,heathen,adj,
haithenous,0,"cruel, severe",adj,
haive,1,heave,v,
haive,2,throw,v,
hakk,0,,,
half,0,half,adj,
half-gaets,0,halfway,adv,
half-oot-afore,0,,,
half-oot-ahint,0,,,
halfwye,0,halfway,adv,
halibut,0,halibut,n,
hallabaloo,0,hullabaloo,n,
halligit,0,wild,adj,
hallo,0,straw bundle,n,
Hallomas,0,"1 November; one of the quarter days, the others being Candlemas, Beltane and Lammas",n,
halvers,0,halvers,n,
hamar,0,rocky hill,n,
hame,0,home,n,
hame-aboot,0,homely,adj,
hamefare,0,bridal celebration,n,
hame-trowe,0,homewards,adv,
handkerchief,0,handkerchief,n,loan < Eng
handsome,0,handsome,adj,loan < Eng
handyman,0,handyman,n,loan < Eng
hang,0,hang,v,
hangcliff,0,,,
hanger,0,hanger,n,
hank,0,"skein,gather line into coils",n,"OSc. hank (c.1420); ME hanc, hanke, found fr 14C < ON hǫnk 'hank, coil, skein, clasp, etc' (> Sw. hank 'ring, loop, etc to hang stg with', No., Da. hank 'handle (as of a basket); ear of a pot, etc') < MLGm hank 'handle' < ult. PIE *keng- 'hook, handle, latch, peg, etc'"
hanker,0,hanker,n,
hankie,0,hankie,n,
Hanseatic,0,Hanseatic,adj,
hansel,0,gift,n,
hansper,0,delayed onset muscle fatigue,n,
hantel,0,large quantity,n,
hanvaigin,0,putting off time,v,
hap,0,shawl,n,
hapenny,0,"ha'penny, half a penny",n,
hap-laece,0,shawl border lace,n,
happen,0,happen,v,
happeneen,0,happening,n,
happer,0,hinder,v,
happy,0,happy,adj,
hap-yarn,0,,,
hard,0,hard,adj,
hard darkeneen,0,,,
hardly,0,hardly,adv,
hardship,0,hardship,n,
hardy,0,hardy,adj,
hare,0,hare,n,
hark,0,whisper,v,
harl,0,walk slowly and feebly,v,
harlibanes,0,,,
harn,0,brain,n,
harness,0,harness,n,
harnpan,0,skull,n,
harpey,0,,,
harpoon,0,harpoon,n,
harr,0,piece of wooden door-hinge,n,
harsk,0,harsh,adj,
harvest,0,harvest,v,
hash,0,hash,n,
haslock,0,wool under neck,n,
hass,0,throat (trachea),n,
hassens,0,boards next to gardboard,n,
hat,0,hat,n,
hatch,0,hatch,v,
hate,0,hate,v,
hatter,0,harrass,v,
haver,0,talk foolishly,v,
havr,0,,,
hawk,0,hawk,n,
hay,0,hay,n,
he,0,he,pers,
He he!,0,,,
He jüst lowsed,0,,,
He’s haed him a day,0,,,
He’s haed him a nicht,0,,,
head-rig,0,,,
heads ta traas,0,,,
healt,0,health,n,"< OE hǣlþ 'health' < PGmc. *hailaz 'whole, hale, intact' < PIE *kóilo- 'whole, itact, complete'"
healty,0,healthy,adj,
hear,0,hear,v,
heareen,0,"report or story, heard with incredulity",n,
Hebrew,0,Hebrew,n,
heck,0,crutch,n,
heckle,0,travel laboriously,v,
hectare,0,hectare,n,
hedimoo,0,heat mirage,n,
heel,0,heel,n,
heeld,0,lean,v,
heesie,0,,,
heeze,0,,,
heft,0,handle,n,
hegri,0,heron,n,"Shetland specific. < Norn hegri < ON hegri 'heron' < PGmc *hraigrô 'heron' < PIE *kroikro-, *krikro 'imit.')"
heich,0,"high,tall",adj,
heicht,1,"top, height",n,
heicht,2,height,n,
heichtent,0,heightened,adj,
heid,0,head,n,
heidder,0,heather,n,
heidderkindunk,0,seesaw,n,
heidderkowe,0,large clump of heather,n,
heidicraa,0,"head over heels,somersault",adv,
heidlicht,0,dizzy,adj,
heidlins,0,headlong,adv,
heidmester,0,"head master, head teacher (male)",n,
heidmistress,0,"head mistress, head teacher (female)",n,
heidquarter,0,headquarter,n,
heidteacher,0,head teacher,n,
heidwind,0,headwind,n,
hein,0,hen,n,
heinhoose,0,henhouse,n,
heir,0,heir,n,
heist,0,heist,n,
heiven,0,heaven,n,
heivy,0,heavy,adj,"OSc. hevy(e), hevi(e), hewy(e), h(e)avy, ha(y)vie, hawy(e)< nOE hæfig < PGmc. *habīgaz 'heavy; severe' < PIE *keh₂p- 'to grasp, take, seize, hold'"
heksi,0,witch,n,
helicopter,0,helicopter,n,
hell,0,hell,n,
hellery,0,rubbish,n,
helli,0,weekend,n,
Helli airrants,0,,,
hellick,0,"large, flat rock sloping down to water, suitable for use as a landing-stage",n,
hellimøld,0,burial ground,n,
hellisom,0,amiable,adj,
hello,0,hello,interj,
hellsest,0,,,
helly,0,weekend,n,
helm,0,helm,n,
help,0,help,v,
helper,0,helper,n,
helsin,0,welcome,n,
helyer,0,sea-cave into which the tide flows,n,
hemp,0,hemp,n,
hems,0,triangular wooden head yoke placed around the neck of a sheep so as to prevent it from going through fences,n,
hen,0,hen,n,
hench,0,haunch,n,
henchbane,0,haunch bone,n,
henchheid,0,top of haunch,n,
hench-heid,0,,,
henk,0,walk with limp,v,
hent,0,gather,v,
hentilaaget,0,tuft of wool,n,
hentins,0,gleanings,n,
heog,0,,,
Her abøn aa!,0,,,
herald,0,herald,v,
herald dyook,0,red-breasted merganser,n,
herbour,0,harbour,n,
herbourmester,0,harbour master,n,
herd,0,hard,adj,
Herd tweet,0,,,
herdent,0,hardened,adj,
herdly,0,hardly,adv,
Herdly ivver aff da go,0,,,
Herdly wun ithin da door,0,,,
here,0,here,adv,
hereaboot,0,around here,adv,
heritage,0,heritage,n,
herlein,0,by herself,adv,
heroic,0,heroic,adj,
herra,0,,,
herreen,0,herring,n,
herreen hog,0,,,
hersel,0,herself,pro-form,
hert,0,heart,n,
herthol,0,very centre,n,
hertscad,0,heartburn,n,
hertstane,0,hearth stone,n,
hesitate,0,hesitate,v,
hesitation,0,hesitation,n,
hesp,0,skein of yarn,n,
hesp-tree,0,niddynoddy,n,
heth,0,mild oath,interj,
hey,0,hay,n,
heyday,0,,,
hicksi,0,hiccups,n,
hidder an didder,0,,,
hiddle,0,hide,v,
hide,0,skin,n,
high,0,high,adj,
Highlandman,0,Highlandman,n,
hill,0,hill,n,
hillgaet,0,hill path,n,
hillgrind,0,gate between settlement and pasture,n,
hill-moose,0,hill mouse,n,
hill-sporroo,0,hill sparrow,n,
hilltop,0,hill top,n,
him,0,him,pers,OE him '3rd person dative singular masculine/neuter' < PGmc. *himmai 'to/for this (one) [dem. dat. sg. masc./neut.]' < PIE *ḱís (comp. *ḱe 'here; this' +‎ *ís/h₁e 'the [just named]')
Him abøn aa!,0,,,
himlane,0,by himself,adv,
himsel,0,himself,pro-form,
himst,0,huffy,adj,
hinder,0,prevent,v,
hindmaist,0,hindmost,adj,
Hindu,0,Hindu,n,
hing,0,hang,v,
hingin da sleb,0,pout,v,
hingin widder,0,,,
hinny,0,darling,n,
hinnyspot,0,three-cornered piece of wood connecting gunwales of boat with stem,n,
hinnywaar,0,edible kelp,n,
hint,1,"located at the back, posterior",adj,"OE hindan 'at the rear, from behind' < PGmc. hinder 'behind, beyond' < PIE *ḱem-ta- 'down, back, along, over, through' deriv. *ḱóm 'with, at, along'"
hint,2,steal in and out quietly,v,
hintet,0,,,
hip,0,omit,v,
hipleen,0,cormorant,n,
hipp,0,,,
hippen,0,nappy,n,
hird,0,gather crops,v,
hirda,0,chaos,n,
hirdet,0,,,
hire,0,hire,v,
hirnik,0,corner,n,
hirple,0,limp,v,
his,0,his,poss,
hisshass,0,state of confusion,n,
historical,0,historical,adj,
history,0,history,n,
hit,1,it,pers,"< OE hit < PGmc. *hit 'this (one)' < PIE *ḱe(y)- 'this, here'. Reduced form it is due to low stress and only becomes established as the generally used form in later ME, which then becomes the norm for StE; hit in various forms are still used dialectally and in northern and Scots varieties."
hit,2,throw,v,
Hit admires me,0,,,
Hit wis a mercy,0,,,
Hit wis come awa,0,,,
Hit’ll nivver odds,0,,,
Hit’s a mercy,0,,,
hitlerite,0,hitlerite,adj,
Hit'll no mak ony odds,0,,,
hitsel,0,itself,pro-form,
hivvet,0,swelling,n,
Hiyi,0,"hi, hello",interj,
hoarn,0,horn,n,
hoarnpipe,0,hornpipe,n,
hoarntowes,0,cow's tether,n,
hobby,0,hobby,n,
hobnails,0,,,
hobrand,0,,,
hobrigdi,0,,,
hobs,0,,,
hoch,0,thigh,n,
hochbend,0,tie a cord above hoch joint,v,
hock,0,dig,v,
hockey,0,hockey,n,
hockin,0,very hungry,adj,
hoe,0,"piked dog-fish,Lunnasting person",n,
hoemoothed,0,having protruding upper jaw,adj,
hogmanay,0,,,
hoid,0,hide,v,
hoidiehol,0,hiding place,n,
hoilter,0,ungainly person,n,
hointiclock,0,,,
hoist,0,hoise,v,
hol,0,hole,n,
holder,0,holder,n,
holiday,0,holiday,n,
holloo,0,hollow,adj,
holm,0,small uninhabited islet not far from shore,n,
holtry,0,uneven,adj,
homesick,0,homesick,adj,
hømin,0,dusk twilight,n,
honey,0,honey,n,
honey-sookies,0,lousewort,n,
honour,0,honour,n,
hoo,0,how,interrog,
hoodie maa,0,,,
hooenivver,0,,,
hoof,0,hoof,n,
hoop,0,hope,n,
hoopfilly,0,hopefully,adv,
hoopless,0,hopeless,adj,
hoor,0,whore,n,
hoor o a,0,(vulgar) very; intensifier,interj,
hooray,0,hooray,interj,
hoorkle,0,crouch,v,
hooroo,0,uproar,n,
hoosamilla,0,,,
hoose,0,house,n,"OSc. houis(e), ho(u)s(s)(e), hu(s)se, hus(s), hoos(e), etc< OE hūs < PGmc. *hūsą < PIE *(s)kewH-s- 'cover', deriv. *(s)kewH- 'to cover, hide'"
hoosekeeper,0,housekeeper,n,
hoosewife,0,housewife,n,
hoosumivver,0,however,adv,
hoot,0,,,
hooter,0,silence by threats,v,
horizon,0,horizon,n,
horn,0,top stem of boat,n,
horreed,0,very (intensifier),adv,
horrible,0,horrible,adj,
horror,0,horror,n,
horroration,0,,,
horse,0,horse,n,
horse-gock,0,snipe,n,
hosiery,0,hosiery,n,
hospital,0,hospital,n,
hosst,0,"cough,cough",v,"OSc. host 'coughing; a cough' (fr c.1470), v. fr c.1500 < ON hósta 'to cough', hósti 'a cough'. OE hwósta 'a cough', hwóstan 'to cough' is not known to have survived in Middle English. The northern form (att. fr 14C) was < ON hósti/a < PGmc *hwôstô-, *hwōsaną < pre-Gmc *kwōs-, kās- 'cough' < PIE *kʷeh₂s- 'to cough'. However, it is possible that Old English hwósta may have survived dialectally."
host,0,host,n,
hosteelity,0,hostility,n,
hostel,0,hostel,n,
hottel,0,hotel,n,
houb,0,lagoon,n,
høv,0,throw,v,
høvi,0,basket,n,
How’s du?,0,,,
howdie,0,midwife,n,
howe,0,"hoe,hoe",v,
howl,0,howl,v,
hubbelskyu,0,uproar,n,
hubbit,0,"blamed in an underhand way,driven away because of accusation",v,
hufsi,0,fruit loaf,n,
huge,0,huge,adj,
hugg,0,castrated male sheep,n,
huggistaff,0,gaff,n,
huggitaengs,0,Bordizzo pliers,n,
huker,0,,,
hukers,0,"bended knees, haunches",n,
hulk,0,hulk,v,
hull,0,hollow out,v,
hullabaloo,0,hullabaloo,n,
hulter,0,boulder,n,
human,0,human,n,
humane,0,humane,adj,
humber,0,,,
humlibaand,0,oar securer,n,
hummel,0,,,
hummelled,0,chafed,adj,
humorous,0,humorous,adj,
hump,0,,,
humpigumpi,0,,,
hund,0,dog (generic),n,
hunder,0,hundred,cardnum,OE hundred(d) '100' < PGmc. *hundaradą (< *hundą 'hundred' +‎ *radą 'count') < PIE *ḱm̥tóm/*dḱm̥tóm '100' (ultimately poss. deriv. base *déḱm̥ '10')
hunderweicht,0,,,
hundiclock,0,great winged beetle,n,
hundihol,0,,,
hundred,0,hunder,cardnum,
hunger,0,hunger,n,
hungry,0,hungry,adj,
hunkle,0,shrug of the shoulders,n,
hunkse,0,hoist,v,
hunnik,0,,,
hunse,0,rummage,v,
hunt,0,hunt,v,
hunter,0,hunter,n,
huntmester,0,huntmaster,n,
hurd,0,seashore boulder,n,
hurda,0,,,
hurl,0,"push, eg wheelbarrow",v,
hurlborro,0,wheelbarrow,n,
hurless,0,exhausted,adj,
hurlie,0,"raspy, gurgly,two-wheeled trolley",adj,
hurr,0,make whirring sound,v,
hurricane,0,hurricane,n,
hurriedly,0,hurriedly,adv,
hurry,0,hurry,v,
hurt,0,hurt,v,
husband,0,husband,n,
hush,0,"sound of rolling sea,abundance",n,
hushie-baa,0,hush,interj,
hut,0,hut,n,
hydraulic,0,hydraulic,adj,
hydro,0,,,
hygiene,0,hygiene,n,
hyme,0,hymn,n,
hyocklebane,0,shoulder-blade,n,
hyooch,0,"let out expression of enthusiasm, excitement, enjoyment (especially while dancing)",v,
hyook,0,hook,n,
hypercorrection,0,hypercorrection,n,
hyst,0,hoist,v,
i,0,in,prep,
-i,0,adjectivizer,n > adj,
I,0,I,pers,
I haed i me mind,0,,,
I hear dee,0,,,
ice,0,ice,n,
icehoose,0,ice house,n,
Iceland skorie,0,,,
Icelandic,0,"Icelandic,language variety",adj,
idda,0,in the,prep,
idder,1,either,coordconn,
idder,2,other,det,"< OR ōþer 'other, second' < PGmc. *anþeraz 'id.' < PIE *h₂énteros 'other, second'"
idderwise,0,otherwise,adv,
idderwyes,0,in a different manner,adv,
idea,0,idea,n,
idee,0,idea,n,
identify,0,identify,v,
idle,0,idle,adj,
idlesit,0,situation where no work can be done,n,
-ie,1,adjectiviser,v > adj,
-ie,2,nominalizer,v > n,
if,0,if,conj,
igg,1,egg,v,
igg,2,egg,n,
ignorant,0,ignorant,adj,
-ik,0,diminutive suffix,n > n,"OE -oc, -uc < PGmc. *-ukaz, *ikaz 'nominal diminutive suffix' (> Goth. *-uks; not attested in NGmc)"
ill,0,bad,adj,
ill-aff,0,poor,adj,
ill-best,0,least bad option of a poor bunch,adj,
ill-best een,0,,,
ill-bistit,0,awkward,adj,
ill-døer,0,person who behaves badly,n,
ill-døn by,0,be beseiged by unfortunate circumstances,adj,
illegitimate,0,illegitimate,adj,
ill-faard,0,ugly,adj,
ill-helt,0,devil,interj,
ill-laek,0,ugly,adj,
ill-laekit,0,,,
ill-luckit,0,unlucky,adj,
ill-mainerd,0,impolite,adj,
ill-makin,0,,,
ill-mou,0,,,
ill-naemed,0,,,
ill-naiterd,0,irritable,adj,
ill-naitered,0,,,
illness,0,illness,n,
ill-pairtit,0,unfairly divided,adj,
ill-plaised,0,,,
ill-set,0,,,
ill-spaekin,0,given to slander,adj,
ill-sunse,0,bad luck,n,
ill-trickit,0,mischievous,adj,
ill-trift,0,bad luck,interj,
ill-trivven,0,undernourished,adj,
ill-vaandit,0,disagreeable,adj,
ill-vickit,0,wicked,adj,
ill-vyndit,0,clumsy and awkward in manner or action,adj,
ill-willied,0,bad-tempered,adj,
ilska cry,0,,,
image,0,image,n,
imagination,0,imagination,n,
imagine,0,imagine,v,
imbecile,0,imbecile,adj,
ime,0,soot on the outside of a cooking pot,n,
-iment,0,"nominlizer, suffix for collective noun",n > n,< Lat. -āmentum 'collective noun' < PIE *-mn̥teh₂
immediate,0,immediate,adj,
immediately,0,immediately,adv,
impact,0,impact,n,
imper,0,utter a sound,v,
impoart,0,import,n,
impoartant,0,important,adj,
impossible,0,impossible,adj,
impression,0,impression,n,
impressionable,0,impressionable,adj,
improve,0,improve,v,
improvement,0,improvement,n,
-in,1,progressive suffix,v,
-in,2,present participle,v,OE -ende < PGmc. *-andz < PIE *-(e/o)nt-
In pør hoger,0,,,
inanunder,0,underneath,prep,
inaudible,0,inaudible,adj,
inbiggit,0,obstinate,adj,
inbøs,0,welcome,n,
inbred,0,inbred,adj,
inbye,0,inside,adv,
inch,0,inch,n,
incident,0,incident,n,
inclination,0,inclination,n,
include,0,include,v,
income,0,income,n,
incomer,0,"new settler, someone who has moved to Shetland from elsewhere",n,
incomin,0,shortly to come,adj,
incorporate,0,incorporate,v,
increase,0,increase,v,
incredible,0,incredible,adj,
indefinite,0,indefinite,adj,
independent,0,independent,adj,
Indian,0,Indian,n,
indicate,0,indicate,v,
indiveedual,0,individual,n,
indiveedually,0,individually,adv,
ineetial,0,initial,adj,
Infant bairn,0,,,
infield,0,,,
infirmary,0,infirmary,n,
inflect,0,inflect,v,
influence,0,influence,n,
influenza,0,influenza,n,
inform,0,inform,v,
informal,0,informal,adj,
information,0,information,n,
informer,0,informer,n,
ingine,0,engine,n,
ingineer,0,engineer,n,
ingineroom,0,engineroom,n,
inhadd,0,just enough,n,
inherit,0,inherit,v,
inherited,0,inherited,adj,
injure,0,injure,v,
injury,0,injury,n,
ink,0,ink,n,
inlaand,0,inland,n,
inna,0,inside,adv,
innadaeks,0,"inside the walls,near home",adv,
inner,0,inner,adj,
innicent,0,innocent,adj,
inscription,0,inscription,n,
insecticide,0,insecticide,n,
insideclaes,0,underclothes,n,
inspect,0,inspect,v,
inspector,0,inspector,n,
inspire,0,inspire,v,
installation,0,installation,n,
instalment,0,instalment,n,
insteid,0,instead,adv,
institute,0,institute,n,
instruct,0,instruct,v,
instruction,0,instruction,n,
instructor,0,instructor,n,
instrument,0,instrument,n,
insult,0,insult,n,
intak,0,esp in knitting,n,
intelligent,0,intelligent,adj,
intend,0,intend,v,
intention,0,intention,n,
interbreedeen,0,interbreedging,v,
interest,0,interest,n,
interestin,0,interesting,adj,
interestit,0,interested,adj,
interfere,0,interfere,v,
interior,0,interior,n,
international,0,international,adj,
internet,0,internet,n,
interview,0,interview,n,
intil,0,into,prep,
introduce,0,introduce,v,
Inuit,0,Inuit,n,
inunder,0,underneath,prep,
invade,0,invade,v,
invalid,0,invalid,adj,
invariant,0,invariant,adj,
invent,0,invent,v,
invention,0,invention,n,
investment,0,investment,n,
invitation,0,invitation,n,
invite,0,invite,v,
invoice,0,invoice,n,
involve,0,involve,v,
irg,0,provoke,v,
Irish,0,Irish,adj,
iron,0,iron,n,
ironmonger,0,ironmonger,n,
irp,0,grumble,v,
is,0,is,v,
island,0,island,n,
islander,0,islander,n,
isle,0,island,n,
issue,0,issue,n,
-it,0,"adjectvizer,adjectvizer",n > adj,
Italian,0,"Italian,language variety",adj,
ithin,0,within,prep,"< within. OE wiþinnan, wiðinnan < wiþ 'against, opposite; along, towards; with' (< PGmc. *wiþrą 'against; toward' < PIE *wi-tero-s < *wi 'apart, asunder; away from, against' + *-teros 'contrastive/oppositional suffix') + innan 'within; inside, in; indoors' (< PGmc. *innai 'within, inside' loc. infl. of *in 'in, into' < PIE *h₁én 'in')"
Ithin cry-reck,0,,,
ithoot,0,without,prep,
itidda,0,within the,prep,
itil,0,into,prep,
itsel,0,itself,pro-form,"(h)it+sel < OE hitsylf, hyt sylf, hit-selfe, etc. OE hit < PGmc. *hit 'this (one)' < PIE *ḱe(y)- 'this, here'. Reduced form it is due to low stress and only becomes established as the generally used form in later ME, which then becomes the norm for StE; hit in various forms are still used dialectally and in northern and Scots varieties. OE se(o)lf, sylf < PGmc *selbaz < PIE *selbʰ- 'one's own', deriv. *s(w)é 'separate, apart'"
ivver,0,ever,adv,"OE aefre, æfra. Of uncertain origin and with no cognates in other Gmc. languages. Possibly OE ā 'ever, always' (< PGmc. *aiwaz 'eternity, long time') + a second element of uncertain origin (possibly feorh 'life', as in the phrase ā tō feore 'forever [lit. ‘ever to life]’)"
ivvri,0,every,det,
jaa,0,jaw,n,
jacket,0,jacket,n,
jail,0,"jail,jail",v,
jalouse,0,suspect,v,
jam,0,jam,n,
jander,0,be in heat (female animal),v,
janitor,0,janitor,n,
Janiwirry,0,January,n,
jantry,1,"gentry,Mid Waas person",n,
jantry,2,gentry,n,
jap,0,choppy motion in sea,n,
japple,0,splash in water,v,
jarl,0,,,
jarl’s squad,0,,,
jaundice,0,jaundice,n,
jealous,0,jealous,adj,
jee,0,shift,v,
jeely,0,jam,n,
jeelyjar,0,jam-jar,n,
jerk,0,jerk,v,
jewel,0,darling,n,
jeweller,0,jeweller,n,
Jewish,0,Jewish,adj,
jewl,0,jewel,n,
jewlery,0,jewellery,n,
jilt,0,,,
jimp,0,jump,v,
job,0,job,n,
jocktaleg,0,large pocket knife,n,
Johnsmas,0,24 June,n,
Johnsmas flooer,1,,,
Johnsmas flooer,2,ribwort plantain,n,
Johnsmas Foy,0,celebartion held by Dutch fishermen before the Shetland herring fishery started on 24 June,n,
join,0,join,v,
joiner,0,joiner,n,
joint,0,joint,n,
joke,0,joke,n,
jokkel,0,shoulder,n,
joob,0,deep mud,n,
jookerie-packerie,0,trickery,n,
joopie,0,woollen shirt or singlet,n,
jorum,0,entertainment,n,
journey,0,journey,n,
joy,0,darling,n,
judge,0,"judge,judge",v,
jug,0,jug,n,
juice,0,fizzy drink; juice (eg of pressed fruit),n,
julk,0,squelch,v,
julter,0,,,
jumper,0,sweater,n,
jumperboard,0,,,
Jün,0,June,n,
junction,0,junction,n,
junior,0,junior,adj,
jury,0,jury,n,
